"#","Reference","Qty","Value","Footprint","DNP"
"1","ANT1","1","~","Herald:NN02-224",""
"2","BT1","1","LiPo","Herald:Herald_Battery_Solder_Pads",""
"3","C1, C4, C6, C9, C10, C20","6","4.7uF","Capacitor_SMD:C_0402_1005Metric",""
"4","C2","1","100nF/100V","Capacitor_SMD:C_0402_1005Metric",""
"5","C5","1","10nF","Capacitor_SMD:C_0402_1005Metric",""
"6","C8, C12, C13, C18, C19, C28, C29","7","100nF","Capacitor_SMD:C_0402_1005Metric",""
"7","C11, C17, C21, C27","4","10uF","Capacitor_SMD:C_0402_1005Metric",""
"8","C14, C15, C16, C30, C31","5","1uF","Capacitor_SMD:C_0402_1005Metric",""
"9","C24","1","56pF","Capacitor_SMD:C_0402_1005Metric",""
"10","C25","1","120pF","Capacitor_SMD:C_0402_1005Metric",""
"11","C26","1","Tune (~120pF)","Capacitor_SMD:C_0402_1005Metric",""
"12","D1","1","CHSTAT","LED_SMD:LED_0603_1608Metric",""
"13","D2","1","LED_ARBG","Herald:LED_Kingbright_APHF1608",""
"14","FB1, FB2","2","120R/0.6A","Inductor_SMD:L_0402_1005Metric",""
"15","H1","1","ThermalSlot","Herald:MillSlot_8.0x1.0mm",""
"16","IC1","1","TESEO-LIV3F","SON110P970X1010X230-18N",""
"17","J1, J2, J3, J4","4","HERALD_V2_CONN_RECEPTACLE","Herald:HERALD_V2_CONN_RECEPTACLE",""
"18","J5, J6, J8, J9","4","HERALD_V2_CONN_PLUG","",""
"19","J7","1","USB_C_Receptacle_USB2.0","Herald:USB_C_Receptacle_IPxx",""
"20","J10","1","PNL_1_SOCKET","",""
"21","J11","1","PNL_1","",""
"22","J12","1","PNL_2","",""
"23","J13","1","PNL_3","",""
"24","J14","1","PNL_4","",""
"25","J15","1","PNL_2_SOCKET","",""
"26","R1, R6, R7, R10, R11, R15, R16","7","10k","Resistor_SMD:R_0402_1005Metric",""
"27","R2","1","5.6k","Resistor_SMD:R_0402_1005Metric",""
"28","R4","1","6.8M","Resistor_SMD:R_0402_1005Metric",""
"29","R5","1","10M","Resistor_SMD:R_0402_1005Metric",""
"30","R8, R9","2","27","Resistor_SMD:R_0402_1005Metric",""
"31","R12","1","0","Resistor_SMD:R_0402_1005Metric",""
"32","R13","1","3.9k","Resistor_SMD:R_0402_1005Metric",""
"33","R14","1","1k","Resistor_SMD:R_0402_1005Metric",""
"34","SW1","1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KSC6xxJ",""
"35","TP1","1","VBUS","TestPoint:TestPoint_Pad_D1.0mm",""
"36","TP2, TP16","2","GND","TestPoint:TestPoint_Pad_D1.0mm",""
"37","TP3","1","BTSTAT","TestPoint:TestPoint_Pad_D1.0mm",""
"38","TP5","1","SWDIO","TestPoint:TestPoint_Pad_D1.0mm",""
"39","TP6","1","SWDCLK","TestPoint:TestPoint_Pad_D1.0mm",""
"40","TP7","1","RTCINT","TestPoint:TestPoint_Pad_D1.0mm",""
"41","TP8","1","TMPINT","TestPoint:TestPoint_Pad_D1.0mm",""
"42","TP10","1","ThPad","TestPoint:TestPoint_Pad_D4.0mm",""
"43","TP11","1","BIOINT","TestPoint:TestPoint_Pad_D1.0mm",""
"44","TP12","1","VDD","TestPoint:TestPoint_Pad_D1.0mm",""
"45","TP13","1","SDA","TestPoint:TestPoint_Pad_D1.0mm",""
"46","TP14","1","SCL","TestPoint:TestPoint_Pad_D1.0mm",""
"47","TP15","1","POS_RESETn","TestPoint:TestPoint_Pad_D1.0mm",""
"48","TP17","1","ACCINT1","TestPoint:TestPoint_Pad_D1.0mm",""
"49","TP18","1","ACCINT2","TestPoint:TestPoint_Pad_D1.0mm",""
"50","U1","1","DT1446-04V","Herald:SOT-563",""
"51","U2","1","MCP73831/2-2MC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",""
"52","U3","1","TCA6408A","Herald:QFN40P180X260X55-16N",""
"53","U4","1","FT201XQ","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",""
"54","U6","1","BC833","Herald:Fanstel_BC833x",""
"55","U7","1","MX25R8035FZxxx0","Herald:USON-8-1EP_2x3mm_P0.5mm_EP0.25x1.65mm",""
"56","U8","1","PCF85063ATL","Herald:DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.25x2.15mm",""
"57","U9","1","APDS-9250","OptoDevice:Broadcom_DFN-6_2x2mm_P0.65mm",""
"58","U10","1","ATmega328PB-M","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",""
"59","U11","1","TMP1075","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",""
"60","U12","1","MAX30102","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm",""
"61","U14","1","LIS2DE12","Package_LGA:LGA-12_2x2mm_P0.5mm",""
"62","U15","1","TLV751","Herald:SON40P200X200X80-11N",""
"63","Y1","1","32.768kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm",""
